USER_ID,ITEM_ID,TIMESTAMP
0164cff2efd4001c2b93c91826840107700e006f00838,1334510,1538004687
0165d5cd70240057b8b3731a6c2003072003006a00978,3413050,1539652376
0165c0fb0f170068519daef3c8c0020b000870a800b42,3407847,1539654405
016434746fb20012218b0e90e1bf1c065002c05d0093c,2288085,1539654407
01667a974e3e0007b92af17998ae03072002306a0086e,3274599,1539655580
01667a974e3e0007b92af17998ae03072002306a0086e,1700243,1539655629
01667a974e3e0007b92af17998ae03072002306a0086e,3274595,1539655634
0165e783a254001af01a2f95131101052007800f0093c,3400475,1539655693
01667a9f59f000197aefa389a5f70b048003900d00978,3369136,1539655790
01667a9f59f000197aefa389a5f70b048003900d00978,3420228,1539655796
01667a974e3e0007b92af17998ae03072002306a0086e,2879688,1539655797
01667a974e3e0007b92af17998ae03072002306a0086e,3284521,1539655870
01667aa3fc1d000d3641e2e29d520307300c706b0086e,3433056,1539655902
0165c6e038e1000a2b86cf04b0ef010b000540a800bd0,888549,1539655944
0165c6e038e1000a2b86cf04b0ef010b000540a800bd0,1935065,1539655945
016434618d79001a788ec210255703071004906900bd0,3209933,1539655996
016434618d79001a788ec210255703071004906900bd0,2218122,1539655997
016434618d79001a788ec210255703071004906900bd0,3214361,1539655997
016434618d79001a788ec210255703071004906900bd0,1002194,1539655997
01667aa3fc1d000d3641e2e29d520307300c706b0086e,3246055,1539656038
01667aa3fc1d000d3641e2e29d520307300c706b0086e,3283215,1539656096
01667aa3fc1d000d3641e2e29d520307300c706b0086e,3404833,1539656170
01667aa59b0d002adf022d45b65403073001b06b0086e,3387763,1539656207
01667aa59b0d002adf022d45b65403073001b06b0086e,3387538,1539656341
01667aa59b0d002adf022d45b65403073001b06b0086e,3387520,1539656372
01667aa59b0d002adf022d45b65403073001b06b0086e,3387496,1539656386
01667a9f59f000197aefa389a5f70b048003900d00978,3038287,1539656442
01667aae574f000ebdd2cf4039cb010b600740ae00918,2844305,1539656537
01667aae574f000ebdd2cf4039cb010b600740ae00918,2845845,1539656573
0165c6e038e1000a2b86cf04b0ef010b000540a800bd0,2445066,1539656662
0165c6e038e1000a2b86cf04b0ef010b000540a800bd0,3180630,1539656668
01667a974e3e0007b92af17998ae03072002306a0086e,3092350,1539656735
01667ab0a15b0010de08865010f50306d006e0650074c,3346077,1539656736
016675c2deeb00213a5d794da76017066004805e00720,3116550,1539657079
016675c2deeb00213a5d794da76017066004805e00720,3294846,1539657126
01667a974e3e0007b92af17998ae03072002306a0086e,1935900,1539657161
016675c2deeb00213a5d794da76017066004805e00720,3429728,1539657199
01667a974e3e0007b92af17998ae03072002306a0086e,3422148,1539657342
01667a974e3e0007b92af17998ae03072002306a0086e,3092480,1539657429
01667a974e3e0007b92af17998ae03072002306a0086e,3089252,1539657433
016439d652ea0021ab70e332d3f8010a5005409d008a0,1487,1539657518
